,Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Throttle Position [%],Accelerator Pedal Position [%],Steering Wheel Angle [deg],target
0,0.0,0.37459254264831543,0.19429947435855865,0.056616026908159256,0.0,0.0,0.0,0.3170291483402252,1.0
1,0.0006113221170380712,0.37459254264831543,0.19429947435855865,0.05675613135099411,0.0,0.0,0.0,0.3170291483402252,1.0
2,0.0012203820515424013,0.388252317905426,0.19429947435855865,0.05647609010338783,0.0,0.0,0.0,0.3170291483402252,1.0
3,0.0018271795706823468,0.388252317905426,0.19429947435855865,0.05647609010338783,0.0,0.0,0.0,0.3170291483402252,1.0
4,0.0024317149072885513,0.388252317905426,0.19429947435855865,0.056336335837841034,0.0,0.0,0.0,0.3170291483402252,1.0
5,0.003033987944945693,0.388252317905426,0.19429947435855865,0.05647609010338783,0.0,0.0,0.0,0.3170291483402252,1.0
6,0.00363399856723845,0.388252317905426,0.19429947435855865,0.05605733394622803,0.0,0.0,0.0,0.3170291483402252,1.0
7,0.004231746774166822,0.388252317905426,0.1834087371826172,0.05675613135099411,0.0,0.0,0.0,0.3170291483402252,1.0
8,0.00482723256573081,0.388252317905426,0.1834087371826172,0.05619674548506737,0.0,0.0,0.0,0.3170291483402252,1.0
9,0.005420456640422344,0.4021596610546112,0.1834087371826172,0.05619674548506737,0.0,0.0,0.0,0.3170291483402252,1.0
10,0.006011418532580137,0.4021596610546112,0.1834087371826172,0.056336335837841034,0.0,0.0,0.0,0.3170291483402252,1.0
11,0.006600117776542902,0.4021596610546112,0.1834087371826172,0.056336335837841034,0.0,0.0,0.0,0.3170291483402252,1.0
12,0.007186554372310638,0.4021596610546112,0.19429947435855865,0.05647609010338783,0.0,0.0,0.0,0.3170291483402252,1.0
13,0.007770727854222059,0.4021596610546112,0.19429947435855865,0.056336335837841034,0.0,0.0,0.0,0.3170291483402252,1.0
14,0.008352641016244888,0.41631460189819336,0.19429947435855865,0.05577902868390083,0.0,0.0,0.0,0.3170291483402252,1.0
15,0.008932291530072689,0.41631460189819336,0.19429947435855865,0.055918093770742416,0.0,0.0,0.0,0.3170291483402252,1.0
