Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],Throttle Position [%],Accelerator Pedal Position [%]
0,88.0,101.0,0.0,0.0,50.0,17.647058,16.078432
1,88.0,90.0,0.0,0.0,50.0,17.647058,16.078432
2,88.0,90.0,0.0,0.0,50.0,16.862745,16.078432
3,88.0,20.0,1277.25,0.0,50.0,17.254902,16.078432
4,89.0,21.0,1100.0,0.0,50.0,16.862745,16.078432
5,89.0,35.0,633.5,0.0,50.0,16.862745,16.078432
6,89.0,35.0,633.5,0.0,51.0,19.607843,16.078432
7,89.0,36.0,449.0,0.0,51.0,16.078432,16.078432
8,89.0,41.0,587.5,3.0,51.0,20.0,16.078432
9,89.0,41.0,587.5,3.0,51.0,20.0,25.882353
10,90.0,19.0,587.5,3.0,51.0,20.0,25.882353
11,90.0,19.0,1253.75,9.0,50.0,16.470589,25.882353
12,90.0,19.0,1253.75,9.0,50.0,16.470589,24.705883
13,90.0,56.0,909.25,11.0,50.0,20.392157,24.705883
14,90.0,56.0,909.25,11.0,50.0,20.392157,23.921568
15,89.0,45.0,1185.75,17.0,50.0,20.784313,23.921568
16,89.0,19.0,1185.75,17.0,50.0,20.784313,23.921568
17,89.0,19.0,1328.75,19.0,50.0,16.470589,23.921568
18,89.0,19.0,1328.75,19.0,50.0,16.470589,16.078432
19,89.0,18.0,1245.25,19.0,50.0,16.470589,16.078432
20,88.0,19.0,1084.25,17.0,50.0,16.862745,16.078432
21,88.0,19.0,1084.25,17.0,50.0,16.862745,20.784313
22,88.0,26.0,1142.75,17.0,51.0,18.039215,20.784313
23,88.0,26.0,1142.75,17.0,51.0,18.039215,21.17647
24,88.0,29.0,1228.75,16.0,51.0,18.82353,21.17647
25,88.0,29.0,1228.75,16.0,51.0,18.82353,16.078432
26,87.0,19.0,1211.5,17.0,51.0,16.470589,16.078432
27,87.0,19.0,1075.75,16.0,51.0,16.078432,16.078432
28,87.0,22.0,843.75,14.0,51.0,16.078432,16.078432
29,87.0,35.0,746.0,12.0,51.0,18.431372,16.078432
30,87.0,35.0,746.0,12.0,51.0,18.431372,20.784313
31,87.0,27.0,830.25,10.0,51.0,16.078432,20.784313
32,87.0,27.0,830.25,10.0,51.0,16.078432,16.078432
33,87.0,24.0,842.0,12.0,51.0,18.039215,16.078432
34,87.0,24.0,842.0,12.0,51.0,18.039215,17.254902
35,87.0,23.0,922.5,13.0,51.0,16.078432,17.254902
36,87.0,23.0,922.5,13.0,51.0,16.078432,16.078432
37,87.0,27.0,622.5,11.0,51.0,16.078432,16.078432
38,87.0,29.0,590.5,9.0,52.0,16.078432,16.078432
39,87.0,29.0,590.5,9.0,52.0,16.078432,25.882353
40,88.0,76.0,858.5,8.0,52.0,22.352942,25.882353
41,88.0,76.0,858.5,8.0,52.0,22.352942,26.666666
42,88.0,51.0,1455.25,17.0,51.0,21.960785,26.666666
43,88.0,51.0,1455.25,17.0,51.0,21.960785,16.078432
44,88.0,73.0,1009.25,23.0,50.0,21.960785,16.078432
45,88.0,73.0,1009.25,23.0,50.0,22.745098,16.078432
46,88.0,73.0,1009.25,23.0,50.0,22.745098,22.352942
47,88.0,36.0,1236.5,26.0,50.0,19.215687,22.352942
48,88.0,36.0,1236.5,26.0,50.0,19.215687,22.745098
49,88.0,36.0,1250.0,25.0,50.0,20.0,22.745098
50,88.0,36.0,1250.0,25.0,50.0,20.0,23.137255
51,88.0,44.0,1284.25,27.0,50.0,20.0,23.137255
52,88.0,44.0,1284.25,27.0,50.0,20.784313,23.137255
53,88.0,44.0,1284.25,27.0,50.0,20.784313,23.921568
54,88.0,43.0,1412.5,28.0,50.0,21.17647,23.921568
55,88.0,43.0,1412.5,28.0,50.0,21.17647,24.313726
56,88.0,42.0,1557.75,31.0,49.0,21.568628,24.313726
57,88.0,41.0,1678.0,35.0,49.0,21.568628,24.313726
58,88.0,41.0,1678.0,35.0,49.0,21.960785,24.313726
59,88.0,41.0,1678.0,35.0,49.0,21.960785,16.078432
60,87.0,22.0,1730.25,36.0,49.0,18.82353,16.078432
61,87.0,22.0,1730.25,36.0,49.0,18.82353,20.784313
62,87.0,24.0,1697.5,36.0,49.0,19.215687,20.784313
63,87.0,23.0,1644.5,35.0,49.0,19.215687,20.784313
64,87.0,23.0,1644.5,35.0,50.0,18.82353,20.784313
65,87.0,23.0,1633.5,34.0,50.0,18.82353,20.784313
66,87.0,23.0,1633.5,34.0,50.0,18.82353,20.392157
67,86.0,18.0,1588.25,33.0,50.0,16.862745,20.392157
68,86.0,18.0,1588.25,33.0,50.0,16.862745,19.215687
69,86.0,19.0,1470.25,33.0,50.0,16.862745,19.215687
70,86.0,19.0,1470.25,33.0,50.0,16.862745,20.392157
71,86.0,22.0,1436.5,32.0,50.0,17.647058,20.392157
72,86.0,22.0,1436.5,32.0,50.0,17.647058,16.078432
73,86.0,19.0,1366.25,29.0,50.0,16.470589,16.078432
74,86.0,19.0,1366.25,29.0,50.0,16.470589,20.784313
75,86.0,25.0,1302.25,29.0,50.0,16.470589,20.784313
76,86.0,25.0,1302.25,27.0,51.0,18.039215,20.784313
77,86.0,25.0,1302.25,27.0,51.0,18.039215,20.392157
78,86.0,24.0,1259.25,26.0,51.0,17.647058,20.392157
79,86.0,24.0,1259.25,26.0,51.0,17.647058,20.784313
80,86.0,26.0,1265.5,26.0,51.0,18.431372,20.784313
81,86.0,26.0,1265.5,26.0,51.0,18.431372,21.17647
82,86.0,27.0,1265.5,26.0,51.0,18.431372,21.17647
83,86.0,27.0,1267.0,27.0,51.0,18.431372,21.17647
84,86.0,27.0,1272.5,27.0,50.0,18.431372,21.17647
85,86.0,27.0,1272.5,27.0,50.0,18.431372,20.784313
86,86.0,18.0,1232.0,27.0,50.0,16.470589,20.784313
87,86.0,18.0,1232.0,27.0,50.0,16.470589,16.078432
88,86.0,18.0,1139.75,25.0,51.0,16.078432,16.078432
89,86.0,25.0,800.0,22.0,51.0,16.078432,16.078432
90,86.0,31.0,611.5,18.0,51.0,16.078432,16.078432
91,86.0,27.0,758.5,12.0,51.0,16.078432,16.078432
92,86.0,27.0,758.5,12.0,51.0,16.078432,30.196079
93,86.0,92.0,987.5,9.0,51.0,26.274509,30.196079
94,86.0,92.0,987.5,9.0,51.0,26.274509,28.627451
95,86.0,21.0,1578.75,18.0,50.0,16.862745,28.627451
96,86.0,21.0,1578.75,18.0,50.0,16.862745,27.450981
97,87.0,21.0,1578.75,18.0,50.0,16.862745,27.450981
98,87.0,57.0,1213.25,23.0,49.0,20.392157,27.450981
99,87.0,57.0,1213.25,23.0,49.0,20.392157,23.137255
100,87.0,36.0,1360.75,27.0,49.0,20.0,23.137255
101,88.0,36.0,1399.0,28.0,49.0,20.0,23.137255
102,88.0,31.0,1440.5,30.0,49.0,16.862745,23.137255
103,88.0,31.0,1440.5,30.0,49.0,16.862745,21.568628
104,88.0,27.0,1392.0,30.0,49.0,19.215687,21.568628
105,88.0,27.0,1392.0,30.0,49.0,19.215687,25.882353
106,88.0,52.0,1462.5,29.0,49.0,21.960785,25.882353
107,88.0,52.0,1462.5,29.0,49.0,21.960785,24.705883
108,87.0,52.0,1462.5,29.0,49.0,21.960785,24.705883
109,87.0,35.0,1612.5,33.0,48.0,20.392157,24.705883
110,87.0,35.0,1612.5,33.0,48.0,20.392157,20.784313
111,87.0,21.0,1594.5,34.0,48.0,18.039215,20.784313
112,87.0,21.0,1594.5,34.0,48.0,18.039215,20.0
113,86.0,23.0,1567.0,33.0,49.0,18.431372,20.0
114,86.0,23.0,1567.0,33.0,49.0,18.431372,21.568628
115,86.0,26.0,1526.5,33.0,49.0,19.215687,21.568628
116,86.0,28.0,1525.0,31.0,49.0,19.215687,21.568628
117,86.0,28.0,1525.0,31.0,49.0,19.607843,21.568628
118,86.0,27.0,1543.75,32.0,49.0,19.215687,21.568628
119,86.0,27.0,1543.75,32.0,49.0,19.215687,16.078432
120,86.0,18.0,1443.75,31.0,50.0,16.862745,16.078432
121,86.0,18.0,1443.75,31.0,50.0,16.862745,20.784313
122,86.0,23.0,1357.0,30.0,50.0,16.862745,20.784313
123,86.0,23.0,1357.0,30.0,50.0,18.039215,20.784313
124,86.0,23.0,1357.0,30.0,50.0,18.039215,16.078432
125,86.0,18.0,1266.25,27.0,50.0,16.470589,16.078432
126,86.0,18.0,1266.25,27.0,50.0,16.470589,19.607843
127,86.0,18.0,1152.25,25.0,50.0,16.078432,19.607843
128,86.0,18.0,1152.25,25.0,50.0,16.078432,16.078432
129,86.0,23.0,998.25,23.0,51.0,16.078432,16.078432
130,86.0,23.0,815.5,20.0,51.0,16.078432,16.078432
131,86.0,42.0,717.75,14.0,51.0,21.960785,16.078432
132,86.0,42.0,717.75,14.0,51.0,21.960785,42.35294
133,86.0,102.0,1030.25,18.0,51.0,21.960785,42.35294
134,86.0,102.0,1030.25,18.0,50.0,58.431374,42.35294
135,86.0,102.0,1030.25,18.0,50.0,58.431374,49.411766
136,86.0,100.0,1604.5,26.0,49.0,55.294117,49.411766
137,86.0,100.0,1604.5,26.0,49.0,55.294117,42.745098
138,87.0,19.0,2028.75,38.0,48.0,17.647058,42.745098
139,87.0,19.0,2028.75,38.0,48.0,17.647058,16.078432
140,87.0,21.0,1868.75,41.0,48.0,17.647058,16.078432
141,87.0,21.0,1868.75,41.0,48.0,18.431372,16.078432
142,87.0,21.0,1704.5,38.0,48.0,18.039215,16.078432
143,87.0,21.0,1529.5,34.0,49.0,17.647058,16.078432
144,87.0,21.0,1529.5,34.0,49.0,17.647058,20.0
145,86.0,23.0,1421.75,34.0,49.0,17.647058,20.0
146,86.0,23.0,1421.75,30.0,50.0,18.82353,20.0
147,86.0,23.0,1421.75,30.0,50.0,18.82353,23.921568
148,86.0,25.0,1505.25,30.0,49.0,16.862745,23.921568
149,86.0,25.0,1505.25,30.0,49.0,16.862745,16.078432
150,86.0,20.0,1334.25,30.0,49.0,17.254902,16.078432
151,86.0,20.0,1334.25,30.0,49.0,17.254902,20.392157
152,86.0,24.0,1334.25,30.0,49.0,17.254902,20.392157
153,86.0,24.0,1243.75,27.0,50.0,17.647058,20.392157
154,86.0,24.0,1243.75,27.0,50.0,17.647058,16.078432
155,86.0,19.0,1148.25,25.0,50.0,16.078432,16.078432
156,86.0,19.0,1148.25,25.0,50.0,16.078432,23.137255
157,86.0,49.0,1117.75,23.0,50.0,21.17647,23.137255
158,86.0,49.0,1117.75,23.0,50.0,21.17647,25.490196
159,86.0,55.0,1117.75,23.0,50.0,21.17647,25.490196
160,86.0,55.0,1357.75,25.0,49.0,22.352942,25.490196
161,86.0,45.0,1537.5,31.0,48.0,21.960785,25.490196
162,86.0,45.0,1537.5,31.0,48.0,21.960785,22.745098
163,86.0,25.0,1628.0,34.0,48.0,18.039215,22.745098
164,86.0,25.0,1628.0,34.0,48.0,18.039215,18.039215
165,86.0,21.0,1510.75,33.0,48.0,17.647058,18.039215
166,86.0,21.0,1510.75,33.0,48.0,17.647058,19.607843
167,87.0,20.0,1424.0,30.0,49.0,17.647058,19.607843
168,87.0,20.0,1424.0,30.0,49.0,17.647058,19.215687
169,87.0,20.0,1378.0,29.0,49.0,17.254902,19.215687
170,87.0,20.0,1378.0,29.0,49.0,17.254902,20.0
171,87.0,23.0,1339.0,28.0,50.0,17.647058,20.0
172,87.0,23.0,1339.0,28.0,50.0,17.647058,19.607843
173,87.0,18.0,1279.5,28.0,50.0,16.470589,19.607843
174,87.0,18.0,1279.5,28.0,50.0,16.470589,16.078432
175,87.0,22.0,1109.25,25.0,50.0,16.862745,16.078432
176,86.0,22.0,1109.25,25.0,50.0,16.862745,16.078432
177,86.0,28.0,588.25,22.0,50.0,16.078432,16.078432
178,87.0,30.0,648.25,16.0,50.0,16.078432,16.078432
179,87.0,30.0,648.25,16.0,50.0,16.078432,26.274509
180,87.0,62.0,1371.75,15.0,50.0,23.137255,26.274509
181,87.0,62.0,1371.75,15.0,50.0,23.137255,25.490196
182,87.0,18.0,1581.25,24.0,48.0,16.862745,25.490196
183,87.0,18.0,1581.25,24.0,48.0,16.862745,28.627451
184,87.0,55.0,1512.5,28.0,48.0,22.352942,28.627451
185,87.0,55.0,1512.5,28.0,48.0,22.352942,17.647058
186,87.0,17.0,1549.0,33.0,48.0,16.862745,17.647058
187,87.0,17.0,1549.0,33.0,48.0,16.862745,20.784313
188,87.0,24.0,1418.75,31.0,48.0,18.82353,20.784313
189,87.0,24.0,1418.75,31.0,48.0,18.82353,21.960785
190,87.0,29.0,1410.0,29.0,48.0,18.82353,21.960785
191,87.0,29.0,1410.0,29.0,48.0,20.392157,21.960785
192,87.0,29.0,1410.0,29.0,48.0,20.392157,23.137255
193,87.0,36.0,1475.75,29.0,48.0,20.392157,23.137255
194,87.0,29.0,1518.75,31.0,48.0,18.82353,23.137255
195,87.0,29.0,1518.75,31.0,48.0,18.82353,21.17647
196,87.0,31.0,1513.25,31.0,48.0,18.82353,21.17647
197,87.0,31.0,1513.25,31.0,48.0,20.0,21.17647
198,87.0,31.0,1513.25,31.0,48.0,20.0,22.352942
199,87.0,31.0,1532.75,31.0,48.0,20.0,22.352942
200,87.0,31.0,1532.75,31.0,48.0,20.0,23.529411
201,86.0,31.0,1532.75,31.0,48.0,20.0,23.529411
202,86.0,40.0,1590.5,33.0,48.0,21.568628,23.529411
203,86.0,40.0,1590.5,33.0,48.0,21.568628,23.921568
204,86.0,39.0,1687.5,35.0,48.0,21.568628,23.921568
205,86.0,39.0,1775.0,35.0,47.0,21.960785,23.921568
206,86.0,39.0,1775.0,35.0,47.0,21.960785,16.078432
207,86.0,55.0,1360.0,38.0,47.0,23.137255,16.078432
208,86.0,55.0,1360.0,38.0,47.0,23.137255,25.09804
209,86.0,59.0,1464.75,40.0,47.0,23.137255,25.09804
210,86.0,59.0,1464.75,40.0,46.0,23.137255,25.09804
211,86.0,59.0,1464.75,40.0,46.0,23.137255,24.705883
212,86.0,47.0,1584.25,44.0,46.0,19.607843,24.705883
213,86.0,47.0,1584.25,44.0,46.0,19.607843,21.568628
214,86.0,30.0,1612.5,46.0,46.0,20.0,21.568628
215,87.0,33.0,1625.75,47.0,46.0,20.0,21.568628
216,87.0,33.0,1625.75,47.0,46.0,21.17647,21.568628
217,87.0,33.0,1625.75,47.0,46.0,21.17647,16.078432
218,87.0,19.0,1603.75,45.0,46.0,19.215687,16.078432
219,87.0,19.0,1603.75,45.0,46.0,19.215687,21.17647
220,87.0,27.0,1587.5,45.0,47.0,19.215687,21.17647
221,87.0,27.0,1587.5,45.0,47.0,19.215687,21.568628
222,87.0,27.0,1583.5,45.0,47.0,19.215687,21.568628
223,87.0,27.0,1583.5,45.0,47.0,19.215687,21.17647
224,87.0,26.0,1571.75,45.0,47.0,19.215687,21.17647
225,87.0,26.0,1567.0,44.0,48.0,19.215687,21.17647
226,86.0,27.0,1567.0,44.0,48.0,19.215687,21.17647
227,86.0,27.0,1542.75,43.0,48.0,19.215687,21.17647
228,86.0,27.0,1524.0,43.0,48.0,19.215687,21.17647
229,86.0,27.0,1524.0,43.0,48.0,19.215687,21.568628
230,86.0,29.0,1521.75,43.0,48.0,19.607843,21.568628
231,86.0,29.0,1521.75,43.0,48.0,19.607843,21.960785
232,86.0,37.0,1521.75,43.0,48.0,19.607843,21.960785
233,86.0,37.0,1537.5,43.0,48.0,20.784313,21.960785
234,86.0,37.0,1537.5,43.0,48.0,20.784313,22.745098
235,86.0,36.0,1570.25,45.0,47.0,20.784313,22.745098
236,86.0,36.0,1570.25,45.0,47.0,20.784313,41.960785
237,86.0,100.0,1831.25,49.0,46.0,47.843136,41.960785
238,86.0,100.0,1831.25,49.0,46.0,47.843136,31.372549
239,86.0,20.0,2036.5,56.0,45.0,18.039215,31.372549
240,86.0,20.0,2036.5,56.0,45.0,18.039215,16.078432
241,87.0,21.0,1943.75,57.0,45.0,18.431372,16.078432
242,87.0,20.0,1795.25,53.0,46.0,18.431372,16.078432
243,86.0,20.0,1795.25,53.0,46.0,18.431372,16.078432
244,86.0,23.0,1709.25,49.0,46.0,18.431372,16.078432
245,86.0,18.0,1620.25,47.0,47.0,16.862745,16.078432
246,86.0,22.0,1427.25,43.0,48.0,17.647058,16.078432
247,86.0,22.0,1235.0,37.0,48.0,16.862745,16.078432
248,86.0,62.0,1117.75,30.0,48.0,25.490196,16.078432
249,86.0,62.0,1117.75,30.0,48.0,25.490196,30.588236
250,86.0,89.0,1323.25,35.0,46.0,28.627451,30.588236
251,86.0,89.0,1323.25,35.0,46.0,28.627451,29.803921
252,86.0,85.0,1590.5,43.0,45.0,27.843138,29.803921
253,86.0,85.0,1590.5,43.0,45.0,27.843138,26.274509
254,86.0,79.0,1802.25,47.0,44.0,28.627451,26.274509
255,86.0,79.0,1802.25,47.0,44.0,28.627451,27.450981
256,87.0,54.0,1998.25,55.0,43.0,18.039215,27.450981
257,87.0,54.0,1998.25,55.0,43.0,18.039215,16.078432
258,87.0,18.0,1940.5,56.0,44.0,18.431372,16.078432
259,87.0,21.0,1844.5,53.0,45.0,18.431372,16.078432
260,87.0,21.0,1844.5,53.0,45.0,18.431372,21.17647
261,87.0,31.0,1820.25,51.0,45.0,20.392157,21.17647
262,87.0,31.0,1820.25,51.0,45.0,20.392157,22.352942
263,87.0,25.0,1821.0,51.0,45.0,18.431372,22.352942
264,87.0,25.0,1821.0,51.0,45.0,18.431372,18.431372
265,86.0,19.0,1754.5,51.0,46.0,18.431372,18.431372
266,86.0,19.0,1754.5,51.0,46.0,17.647058,18.431372
267,86.0,19.0,1754.5,51.0,46.0,17.647058,20.0
268,86.0,22.0,1690.5,48.0,46.0,18.82353,20.0
269,86.0,22.0,1690.5,48.0,46.0,18.82353,20.392157
270,86.0,23.0,1660.0,47.0,46.0,18.82353,20.392157
271,86.0,23.0,1660.0,47.0,46.0,18.82353,20.784313
272,86.0,24.0,1642.0,46.0,46.0,18.82353,20.784313
273,85.0,26.0,1613.25,46.0,46.0,19.215687,20.784313
274,85.0,26.0,1613.25,46.0,46.0,19.215687,21.17647
275,86.0,26.0,1613.25,46.0,46.0,19.215687,21.17647
276,86.0,25.0,1592.75,45.0,46.0,19.215687,21.17647
277,86.0,26.0,1598.25,45.0,46.0,19.215687,21.17647
278,86.0,26.0,1598.25,45.0,46.0,19.607843,21.17647
279,86.0,26.0,1598.25,45.0,46.0,19.607843,21.960785
280,86.0,29.0,1585.75,45.0,46.0,19.607843,21.960785
281,86.0,29.0,1585.75,45.0,46.0,19.607843,21.568628
282,86.0,28.0,1596.0,47.0,46.0,19.215687,21.568628
283,86.0,28.0,1599.0,45.0,46.0,19.215687,21.568628
284,86.0,28.0,1599.0,45.0,46.0,19.607843,21.568628
285,86.0,28.0,1605.25,45.0,46.0,19.607843,21.568628
286,86.0,28.0,1605.25,45.0,46.0,19.607843,21.960785
287,86.0,28.0,1606.25,45.0,46.0,19.607843,21.960785
288,86.0,28.0,1606.25,45.0,46.0,19.607843,21.568628
289,86.0,29.0,1592.75,45.0,46.0,19.607843,21.568628
290,86.0,29.0,1592.75,45.0,46.0,19.215687,21.568628
291,86.0,28.0,1604.5,46.0,46.0,19.607843,21.568628
292,86.0,28.0,1590.5,45.0,46.0,19.607843,21.568628
293,86.0,28.0,1590.5,45.0,46.0,19.607843,21.960785
294,86.0,29.0,1590.5,45.0,46.0,19.607843,21.960785
295,86.0,29.0,1580.25,45.0,46.0,20.0,21.960785
296,87.0,17.0,1573.25,45.0,46.0,16.862745,21.960785
297,87.0,17.0,1573.25,45.0,46.0,16.862745,19.607843
298,86.0,20.0,1531.25,44.0,46.0,18.039215,19.607843
299,86.0,20.0,1531.25,44.0,46.0,18.039215,20.392157
300,86.0,24.0,1531.25,44.0,46.0,18.039215,20.392157
301,86.0,24.0,1510.0,42.0,46.0,18.82353,20.392157
302,86.0,24.0,1510.0,42.0,46.0,18.82353,21.960785
303,86.0,28.0,1477.25,42.0,46.0,19.607843,21.960785
304,86.0,28.0,1477.25,42.0,46.0,19.607843,23.529411
305,86.0,56.0,1505.25,42.0,46.0,23.921568,23.529411
306,86.0,56.0,1505.25,42.0,46.0,23.921568,26.274509
307,86.0,64.0,1689.75,46.0,45.0,24.705883,26.274509
308,86.0,64.0,1689.75,46.0,45.0,24.705883,25.882353
309,86.0,58.0,1824.0,50.0,44.0,24.313726,25.882353
310,87.0,52.0,1964.0,54.0,43.0,23.137255,25.882353
311,87.0,52.0,1964.0,54.0,43.0,23.137255,24.313726
312,87.0,59.0,1995.25,55.0,43.0,25.09804,24.313726
313,87.0,59.0,1995.25,55.0,43.0,25.09804,27.058823
314,87.0,78.0,2086.5,57.0,43.0,29.019608,27.058823
315,87.0,78.0,2086.5,57.0,43.0,29.019608,27.843138
316,87.0,69.0,2175.75,59.0,42.0,27.058823,27.843138
317,87.0,69.0,2175.75,59.0,42.0,27.058823,25.882353
