Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],Throttle Position [%],Accelerator Pedal Position [%]
0,70.0,101.0,0.0,0.0,44.0,17.647058,16.078432
1,70.0,21.0,1596.75,0.0,44.0,17.647058,16.078432
2,70.0,24.0,1027.25,0.0,45.0,17.647058,16.078432
3,70.0,25.0,938.25,0.0,46.0,17.647058,16.078432
4,70.0,25.0,938.25,0.0,46.0,17.254902,16.078432
5,68.0,26.0,738.25,0.0,47.0,16.470589,16.078432
6,68.0,29.0,590.5,0.0,47.0,16.470589,16.078432
7,68.0,26.0,690.5,0.0,48.0,16.470589,16.078432
8,69.0,26.0,681.25,0.0,48.0,16.470589,16.078432
9,70.0,26.0,681.25,0.0,48.0,16.470589,16.078432
10,70.0,26.0,678.0,0.0,48.0,16.470589,16.078432
11,70.0,27.0,679.5,0.0,48.0,16.470589,16.078432
12,70.0,28.0,682.75,0.0,48.0,16.470589,16.078432
13,70.0,28.0,686.5,0.0,48.0,16.470589,16.078432
14,70.0,28.0,684.25,0.0,48.0,16.470589,16.078432
15,71.0,28.0,685.75,0.0,48.0,16.470589,16.078432
16,71.0,27.0,682.0,0.0,48.0,16.470589,16.078432
17,71.0,27.0,695.25,0.0,48.0,16.470589,16.078432
18,71.0,28.0,691.25,0.0,49.0,16.470589,16.078432
19,71.0,27.0,685.75,0.0,49.0,16.470589,16.078432
20,72.0,28.0,685.75,0.0,49.0,16.470589,16.078432
21,72.0,28.0,695.25,0.0,49.0,16.470589,16.078432
22,72.0,25.0,700.0,0.0,49.0,16.078432,16.078432
23,72.0,25.0,689.0,0.0,49.0,16.078432,16.078432
24,73.0,25.0,689.0,0.0,49.0,16.078432,16.078432
25,73.0,25.0,670.25,0.0,49.0,16.078432,16.078432
26,73.0,25.0,657.75,0.0,49.0,16.078432,16.078432
27,73.0,25.0,647.5,0.0,49.0,16.078432,16.078432
28,73.0,27.0,639.75,0.0,49.0,16.078432,16.078432
29,73.0,26.0,653.0,0.0,49.0,16.078432,16.078432
30,73.0,26.0,656.25,0.0,49.0,16.078432,16.078432
31,74.0,26.0,656.25,0.0,49.0,16.078432,16.078432
32,74.0,25.0,665.5,0.0,49.0,16.078432,16.078432
33,74.0,26.0,658.5,0.0,49.0,16.078432,16.078432
34,74.0,25.0,655.25,0.0,49.0,16.078432,16.078432
35,75.0,25.0,655.25,0.0,49.0,16.078432,16.078432
36,75.0,26.0,654.5,0.0,49.0,16.078432,16.078432
37,75.0,26.0,653.75,0.0,49.0,16.078432,16.078432
38,75.0,25.0,658.5,0.0,50.0,16.078432,16.078432
39,75.0,25.0,650.75,0.0,50.0,16.078432,16.078432
40,76.0,25.0,652.25,0.0,50.0,16.078432,16.078432
41,76.0,25.0,657.0,0.0,50.0,16.078432,16.078432
42,76.0,25.0,651.5,0.0,50.0,16.078432,16.078432
43,76.0,26.0,657.0,0.0,50.0,16.078432,16.078432
44,76.0,26.0,646.75,0.0,50.0,16.078432,16.078432
45,76.0,26.0,652.25,0.0,50.0,16.078432,16.078432
46,77.0,26.0,648.25,0.0,50.0,16.078432,16.078432
47,77.0,26.0,647.5,0.0,50.0,16.078432,16.078432
48,77.0,26.0,650.75,0.0,50.0,16.078432,16.078432
49,77.0,25.0,653.0,0.0,50.0,16.078432,16.078432
50,78.0,25.0,649.0,0.0,50.0,16.078432,16.078432
51,78.0,26.0,660.0,0.0,50.0,16.078432,16.078432
52,78.0,25.0,651.5,0.0,50.0,16.078432,16.078432
53,78.0,25.0,652.25,0.0,50.0,16.078432,16.078432
54,78.0,25.0,655.25,0.0,50.0,16.078432,16.078432
55,78.0,25.0,642.75,0.0,50.0,16.078432,16.078432
56,78.0,25.0,650.75,0.0,50.0,16.078432,16.078432
57,79.0,25.0,650.75,0.0,50.0,16.078432,16.078432
58,79.0,26.0,653.0,0.0,50.0,16.078432,16.078432
59,79.0,25.0,648.25,0.0,50.0,16.078432,16.078432
60,79.0,25.0,652.25,0.0,50.0,16.078432,16.078432
61,79.0,25.0,647.5,0.0,50.0,16.078432,16.078432
62,80.0,25.0,652.25,0.0,50.0,16.078432,16.078432
63,80.0,25.0,652.25,0.0,50.0,15.686275,16.078432
64,80.0,25.0,648.25,0.0,50.0,15.686275,16.078432
65,80.0,26.0,646.0,0.0,50.0,15.686275,16.078432
66,80.0,26.0,651.5,0.0,50.0,15.686275,16.078432
67,80.0,25.0,646.75,0.0,50.0,15.686275,16.078432
68,80.0,25.0,653.75,0.0,50.0,15.686275,16.078432
69,80.0,25.0,653.75,0.0,51.0,15.686275,16.078432
70,80.0,25.0,650.75,0.0,51.0,15.686275,16.078432
71,80.0,26.0,652.25,0.0,51.0,15.686275,16.078432
72,81.0,26.0,652.25,0.0,51.0,15.686275,16.078432
73,81.0,26.0,654.5,0.0,51.0,15.686275,16.078432
74,81.0,25.0,659.25,0.0,51.0,15.686275,16.078432
