Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],Throttle Position [%],Accelerator Pedal Position [%]
0,81.0,101.0,0.0,0.0,36.0,17.647058,16.078432
1,80.0,20.0,0.0,0.0,36.0,17.647058,16.078432
2,80.0,20.0,1608.5,0.0,35.0,16.862745,16.078432
3,81.0,30.0,1153.75,0.0,36.0,18.82353,16.078432
4,82.0,32.0,1038.25,0.0,36.0,18.82353,16.078432
5,82.0,34.0,920.25,0.0,36.0,18.431372,16.078432
6,82.0,34.0,864.0,0.0,36.0,18.431372,16.078432
7,82.0,35.0,844.5,0.0,36.0,18.039215,16.078432
8,82.0,36.0,828.0,0.0,37.0,18.431372,16.078432
9,83.0,37.0,835.75,0.0,37.0,18.431372,16.078432
10,83.0,38.0,835.75,0.0,37.0,18.431372,16.078432
11,83.0,36.0,835.75,0.0,37.0,18.431372,16.078432
12,83.0,37.0,842.0,0.0,37.0,18.431372,16.078432
13,83.0,37.0,850.75,0.0,37.0,18.431372,16.078432
14,83.0,37.0,849.0,0.0,37.0,18.431372,16.078432
15,83.0,38.0,860.0,0.0,37.0,18.431372,16.078432
16,84.0,36.0,863.25,0.0,37.0,18.431372,16.078432
17,84.0,36.0,871.0,0.0,37.0,18.431372,16.078432
18,85.0,37.0,866.25,0.0,38.0,18.431372,16.078432
19,85.0,35.0,853.75,0.0,38.0,18.431372,16.078432
20,85.0,36.0,848.25,0.0,38.0,18.431372,16.078432
21,85.0,36.0,859.25,0.0,38.0,18.431372,16.078432
22,85.0,35.0,858.5,0.0,38.0,18.431372,16.078432
23,85.0,37.0,859.25,0.0,38.0,18.431372,16.078432
24,86.0,35.0,860.75,0.0,38.0,18.431372,16.078432
25,86.0,35.0,858.5,0.0,38.0,18.431372,16.078432
26,86.0,37.0,860.75,0.0,38.0,18.431372,16.078432
27,86.0,35.0,862.5,0.0,38.0,18.431372,16.078432
28,86.0,36.0,853.75,0.0,38.0,18.431372,16.078432
29,86.0,35.0,852.25,0.0,38.0,18.431372,16.078432
30,86.0,36.0,859.25,0.0,38.0,18.431372,16.078432
31,86.0,36.0,867.0,0.0,38.0,18.039215,16.078432
32,87.0,35.0,856.25,0.0,38.0,18.039215,16.078432
33,87.0,36.0,854.5,0.0,38.0,18.039215,16.078432
34,87.0,36.0,850.75,0.0,38.0,18.039215,16.078432
35,87.0,35.0,854.5,0.0,38.0,18.039215,16.078432
36,87.0,35.0,859.25,0.0,38.0,18.039215,16.078432
37,87.0,35.0,853.75,0.0,38.0,18.039215,16.078432
38,87.0,36.0,853.75,0.0,38.0,18.039215,16.078432
39,87.0,36.0,856.25,0.0,38.0,18.039215,16.078432
40,87.0,27.0,756.25,0.0,39.0,16.470589,16.078432
41,87.0,26.0,729.5,0.0,39.0,16.078432,16.078432
42,87.0,26.0,710.0,0.0,39.0,15.686275,16.078432
43,87.0,42.0,778.0,0.0,39.0,18.82353,16.078432
44,87.0,40.0,836.5,0.0,39.0,18.82353,16.078432
45,87.0,39.0,869.5,0.0,39.0,18.82353,16.078432
46,87.0,36.0,885.75,0.0,39.0,18.431372,16.078432
47,87.0,37.0,882.75,0.0,39.0,18.431372,16.078432
48,87.0,36.0,867.0,0.0,39.0,18.431372,16.078432
49,87.0,35.0,864.0,0.0,39.0,18.039215,16.078432
50,87.0,36.0,853.75,0.0,39.0,18.039215,16.078432
51,87.0,35.0,854.5,0.0,39.0,18.039215,16.078432
52,87.0,35.0,847.5,0.0,39.0,18.039215,16.078432
53,87.0,35.0,849.0,0.0,40.0,18.039215,16.078432
54,87.0,35.0,847.5,0.0,40.0,18.039215,16.078432
55,88.0,35.0,847.5,0.0,40.0,18.039215,16.078432
56,88.0,35.0,848.25,0.0,40.0,18.039215,16.078432
57,88.0,26.0,824.0,0.0,40.0,18.039215,16.078432
58,88.0,26.0,824.0,0.0,40.0,16.078432,16.078432
59,88.0,25.0,732.0,0.0,40.0,16.078432,16.078432
60,88.0,25.0,697.5,0.0,40.0,15.686275,16.078432
61,88.0,26.0,667.75,0.0,40.0,15.686275,16.078432
62,88.0,42.0,785.75,0.0,40.0,18.82353,16.078432
63,88.0,41.0,828.0,0.0,40.0,18.82353,16.078432
64,88.0,38.0,868.75,0.0,40.0,18.82353,16.078432
65,88.0,36.0,890.5,0.0,40.0,18.431372,16.078432
66,88.0,36.0,884.25,0.0,40.0,18.431372,16.078432
67,88.0,36.0,881.25,0.0,40.0,18.431372,16.078432
