Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],Throttle Position [%],Accelerator Pedal Position [%]
0,43.0,101.0,0.0,0.0,36.0,17.647058,16.078432
1,43.0,22.0,1722.5,0.0,36.0,18.82353,16.078432
2,43.0,24.0,1385.0,0.0,36.0,18.82353,16.078432
3,43.0,25.0,1279.5,0.0,36.0,18.82353,16.078432
4,43.0,25.0,1212.5,0.0,37.0,18.431372,16.078432
5,43.0,25.0,1178.0,0.0,37.0,18.431372,16.078432
6,44.0,28.0,1154.5,0.0,38.0,18.82353,16.078432
7,44.0,29.0,1166.25,0.0,38.0,19.215687,16.078432
8,45.0,29.0,1178.75,0.0,38.0,19.215687,16.078432
9,45.0,30.0,1186.5,0.0,38.0,19.215687,16.078432
10,46.0,35.0,1075.75,0.0,38.0,19.607843,16.078432
11,46.0,35.0,1114.0,0.0,38.0,19.607843,16.078432
12,46.0,36.0,1141.25,0.0,38.0,20.0,16.078432
13,47.0,37.0,1161.5,0.0,38.0,20.0,16.078432
14,48.0,37.0,1161.5,0.0,38.0,20.0,16.078432
15,48.0,32.0,1202.25,0.0,38.0,19.607843,16.078432
16,48.0,29.0,1174.0,0.0,38.0,19.215687,16.078432
17,49.0,29.0,1096.0,0.0,38.0,18.82353,16.078432
18,50.0,29.0,1096.0,0.0,38.0,18.82353,16.078432
19,50.0,36.0,863.25,0.0,38.0,18.82353,16.078432
20,50.0,34.0,851.5,0.0,38.0,18.82353,16.078432
21,50.0,34.0,851.5,0.0,38.0,18.431372,16.078432
22,50.0,35.0,770.25,6.0,38.0,18.039215,16.078432
23,51.0,35.0,770.25,6.0,38.0,18.039215,16.078432
24,51.0,31.0,831.25,6.0,38.0,18.039215,16.078432
25,51.0,31.0,831.25,6.0,38.0,18.039215,17.647058
26,51.0,35.0,885.0,8.0,38.0,18.039215,17.647058
27,51.0,35.0,885.0,8.0,38.0,18.431372,17.647058
28,51.0,35.0,885.0,8.0,38.0,18.431372,16.078432
29,51.0,28.0,950.75,7.0,38.0,18.039215,16.078432
30,52.0,26.0,1019.5,7.0,38.0,17.647058,16.078432
31,52.0,24.0,1058.5,7.0,38.0,17.647058,16.078432
32,52.0,24.0,1058.5,8.0,39.0,17.647058,16.078432
33,52.0,24.0,1058.5,8.0,39.0,17.647058,22.745098
34,53.0,42.0,1232.0,8.0,39.0,20.784313,22.745098
35,53.0,42.0,1232.0,8.0,39.0,20.784313,24.705883
36,53.0,20.0,1486.5,12.0,39.0,17.647058,24.705883
37,53.0,20.0,1486.5,12.0,39.0,17.647058,29.411764
38,53.0,74.0,1309.25,14.0,39.0,24.705883,29.411764
39,53.0,74.0,1309.25,14.0,39.0,24.705883,16.078432
40,54.0,28.0,1090.5,22.0,38.0,25.09804,16.078432
41,54.0,28.0,1090.5,22.0,38.0,25.09804,25.882353
42,54.0,50.0,1348.25,26.0,38.0,20.784313,25.882353
43,54.0,50.0,1348.25,26.0,38.0,20.784313,20.392157
44,55.0,50.0,1348.25,26.0,38.0,20.784313,20.392157
45,55.0,28.0,1342.75,29.0,38.0,19.215687,20.392157
46,55.0,28.0,1342.75,29.0,38.0,19.215687,22.745098
47,55.0,50.0,1429.5,28.0,38.0,19.215687,22.745098
48,55.0,50.0,1429.5,28.0,38.0,21.960785,22.745098
