Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
0.0,90.0,35.0,737.0,0.0,43.0,,14.0,
48.068999936,94.0,33.0,718.0,0.0,43.0,,14.0,
56.078000128,95.0,95.0,815.0,0.0,43.0,,14.0,
42297.497000192,31.0,40.0,1080.0,0.0,28.0,,17.0,
42313.004999936,34.0,41.0,1074.0,3.0,29.0,,17.0,
42337.036999936,40.0,67.0,1023.0,9.0,30.0,,17.0,
42437.752,65.0,33.0,814.0,7.0,29.0,,18.0,
42449.771000064,66.0,43.0,814.0,0.0,29.0,,15.0,
42493.856,70.0,77.0,821.0,8.0,30.0,,14.0,
42501.321000192,71.0,68.0,1207.0,16.0,30.0,,18.0,
42557.947000064,82.0,27.0,2517.0,80.0,30.0,,18.0,
42789.939000064,93.0,30.0,2833.0,99.0,33.0,,19.0,
42797.958000128,91.0,41.0,2058.0,31.0,35.0,,22.0,
42992.068,93.0,35.0,780.0,76.0,37.0,,13.0,
43041.368,93.0,27.0,2328.0,53.0,38.0,,18.0,
43082.850000128,93.0,28.0,1347.0,18.0,39.0,,16.0,
43310.012,93.0,44.0,797.0,0.0,48.0,,15.0,
43330.047000064,93.0,44.0,783.0,0.0,49.0,,15.0,
43338.066000128,93.0,98.0,1658.0,20.0,50.0,,24.0,
43354.105000192,91.0,50.0,2213.0,51.0,50.0,,24.0,
43362.113000192,92.0,28.0,2481.0,46.0,50.0,,18.0,
43370.130000128,93.0,39.0,2886.0,57.0,50.0,,18.0,
43386.163000064,93.0,40.0,794.0,13.0,51.0,,15.0,
43394.180999936,93.0,42.0,805.0,1.0,51.0,,15.0,
43402.199000064,93.0,42.0,791.0,0.0,51.0,,15.0,
43410.217000192,93.0,44.0,788.0,0.0,51.0,,15.0,
43438.393000192,93.0,50.0,802.0,0.0,51.0,,15.0,
43587.930000128,91.0,36.0,1844.0,42.0,52.0,,22.0,
62367.731000064,44.0,61.0,1377.0,16.0,37.0,,18.0,
62419.063000064,56.0,83.0,2435.0,50.0,37.0,,44.0,
62435.084,64.0,58.0,1750.0,35.0,37.0,,16.0,
62439.832,67.0,97.0,1215.0,32.0,38.0,,19.0,
62451.842000128,71.0,36.0,1503.0,23.0,37.0,,16.0,
62463.856,73.0,50.0,774.0,0.0,38.0,,16.0,
62483.880000000005,76.0,46.0,1591.0,37.0,38.0,,22.0,
62495.908999936,79.0,45.0,1305.0,6.0,38.0,,19.0,
62519.959000064,83.0,57.0,762.0,0.0,38.0,,17.0,
62531.980999936,84.0,46.0,1897.0,21.0,38.0,,18.0,
62543.998000128006,86.0,28.0,1710.0,38.0,38.0,,23.0,
62563.244999936,89.0,43.0,2026.0,46.0,39.0,,24.0,
62568.008,90.0,48.0,1036.0,21.0,39.0,,16.0,
62587.282000128005,92.0,65.0,791.0,18.0,40.0,,16.0,
62592.034000128006,93.0,97.0,1767.0,28.0,40.0,,17.0,
62612.043000064004,97.0,33.0,1707.0,27.0,40.0,,16.0,
62619.332,98.0,47.0,1193.0,14.0,40.0,,17.0,
62624.050000128,99.0,58.0,801.0,0.0,40.0,,18.0,
62631.378000128,100.0,61.0,804.0,0.0,40.0,,17.0,
62663.463000064,88.0,29.0,766.0,17.0,40.0,,26.0,
62703.494000128005,91.0,60.0,1763.0,35.0,41.0,,17.0,
62715.508999936,90.0,83.0,1336.0,33.0,42.0,,28.0,
62727.514000128,90.0,55.0,806.0,2.0,42.0,,16.0,
62739.523000064,91.0,27.0,2084.0,27.0,42.0,,21.0,
62751.530000128005,92.0,101.0,758.0,0.0,43.0,,17.0,
63745.171000064,83.0,59.0,788.0,0.0,41.0,,17.0,
82629.96300006402,87.0,45.0,780.0,0.0,34.0,,16.0,
82637.97299993601,88.0,44.0,1528.0,14.0,34.0,,15.0,
82645.983000064,88.0,70.0,1578.0,32.0,34.0,,22.0,
82743.714000128,101.0,39.0,1847.0,31.0,34.0,,17.0,
82751.73400012801,90.0,47.0,789.0,0.0,35.0,,15.0,
82759.75400012801,91.0,45.0,788.0,0.0,35.0,,15.0,
82767.77200000001,93.0,46.0,779.0,0.0,36.0,,15.0,
82796.42800000001,93.0,45.0,797.0,0.0,36.0,,15.0,
82804.44300006401,90.0,45.0,789.0,0.0,36.0,,15.0,
82985.23500006401,91.0,26.0,1992.0,34.0,40.0,,17.0,
83263.48600012802,92.0,50.0,2009.0,68.0,40.0,,17.0,
83382.20400000001,91.0,68.0,1973.0,67.0,39.0,,24.0,
83443.88600012801,93.0,70.0,2522.0,85.0,38.0,,27.0,
83502.73000012801,93.0,59.0,2475.0,86.0,38.0,,26.0,
83808.69600000001,96.0,41.0,732.0,0.0,42.0,,15.0,
83848.80600012801,93.0,37.0,731.0,0.0,43.0,,14.0,
83856.82500019201,91.0,39.0,735.0,0.0,44.0,,14.0,
83888.89600000001,91.0,42.0,749.0,0.0,45.0,,15.0,
83904.92000000001,94.0,39.0,756.0,0.0,45.0,,14.0,
83912.93900006401,95.0,100.0,739.0,0.0,46.0,,15.0,
128332.60900019201,44.0,56.0,1846.0,37.0,28.0,,42.0,
128344.62400000001,49.0,71.0,2626.0,49.0,28.0,,19.0,
128356.64700006401,54.0,27.0,2416.0,56.0,28.0,,18.0,
128380.68300006402,61.0,38.0,850.0,0.0,28.0,,15.0,
128386.78400000001,62.0,37.0,819.0,0.0,28.0,,15.0,
128392.70300006401,63.0,43.0,889.0,0.0,28.0,,15.0,
128404.748,65.0,41.0,877.0,0.0,28.0,,16.0,
128416.75800012801,66.0,44.0,1826.0,48.0,28.0,,41.0,
128422.81400012801,68.0,43.0,2306.0,47.0,28.0,,21.0,
128434.82800000001,71.0,53.0,2622.0,65.0,28.0,,22.0,
128440.79100006401,72.0,27.0,2866.0,87.0,28.0,,29.0,
128446.84600012802,74.0,71.0,2773.0,103.0,28.0,,29.0,
128458.85800012802,78.0,47.0,3077.0,104.0,28.0,,24.0,
128464.81700019201,81.0,27.0,3039.0,98.0,28.0,,19.0,
128470.87600000002,83.0,27.0,2866.0,93.0,28.0,,24.0,
128476.82200012801,84.0,64.0,2619.0,88.0,29.0,,19.0,
128482.89800012801,85.0,97.0,2655.0,94.0,29.0,,31.0,
128506.93700019202,91.0,97.0,2801.0,102.0,29.0,,50.0,
128518.95400012801,95.0,30.0,3121.0,101.0,29.0,,19.0,
128554.99800012802,93.0,52.0,2714.0,97.0,30.0,,23.0,
128560.888,91.0,27.0,2917.0,95.0,30.0,,32.0,
128584.90899993601,93.0,66.0,2883.0,100.0,30.0,,28.0,
128603.05900006401,90.0,69.0,2880.0,103.0,31.0,,23.0,
128608.94899993601,91.0,97.0,3000.0,104.0,31.0,,21.0,
128615.07100006401,91.0,70.0,3120.0,108.0,31.0,,35.0,
128639.10800000001,91.0,27.0,2867.0,101.0,32.0,,19.0,
128651.11200000001,90.0,36.0,2594.0,84.0,33.0,,19.0,
128657.04200012801,90.0,27.0,2401.0,75.0,33.0,,18.0,
128687.15800012801,91.0,87.0,2424.0,70.0,33.0,,25.0,
128711.19000012802,91.0,27.0,2725.0,71.0,33.0,,19.0,
128753.14700006401,91.0,36.0,740.0,0.0,35.0,,15.0,
128795.30000000002,92.0,34.0,2669.0,73.0,35.0,,19.0,
128837.26099993601,90.0,58.0,1363.0,41.0,36.0,,35.0,
128855.40000000001,91.0,26.0,2059.0,45.0,36.0,,26.0,
128861.29700019202,91.0,55.0,2306.0,49.0,36.0,,21.0,
128891.43900006401,93.0,35.0,2047.0,53.0,38.0,,17.0,
128903.44900019202,91.0,26.0,1881.0,46.0,38.0,,17.0,
128915.46099993601,91.0,37.0,921.0,18.0,38.0,,14.0,
128933.39300019201,91.0,63.0,2141.0,32.0,38.0,,17.0,
128963.52600012801,93.0,43.0,1949.0,52.0,39.0,,17.0,
128969.43800012801,93.0,46.0,1917.0,54.0,39.0,,21.0,
128975.54099993601,93.0,26.0,2076.0,52.0,39.0,,17.0,
128981.45299993601,92.0,29.0,1619.0,30.0,39.0,,16.0,
129027.627000064,94.0,45.0,1923.0,38.0,40.0,,21.0,
129033.50700006401,95.0,52.0,1763.0,33.0,40.0,,17.0,
