Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
0.0,77.0,27.0,768.0,0.0,52.0,,4.0,
12.018000128,78.0,29.0,775.0,0.0,53.0,,4.0,
467.83800012800003,81.0,40.0,1461.0,23.0,53.0,,18.0,
479.86900019200004,80.0,46.0,825.0,8.0,53.0,,6.0,
491.899000064,79.0,42.0,823.0,8.0,54.0,,8.0,
503.92400000000004,78.0,34.0,1267.0,33.0,54.0,,16.0,
515.957000192,78.0,90.0,820.0,25.0,54.0,,6.0,
527.9769999360001,78.0,45.0,823.0,0.0,54.0,,6.0,
539.9970001920001,78.0,41.0,819.0,0.0,54.0,,6.0,
552.037000192,78.0,41.0,815.0,0.0,54.0,,6.0,
564.058000128,78.0,40.0,823.0,0.0,54.0,,6.0,
576.0729999360001,78.0,73.0,1524.0,21.0,54.0,,23.0,
588.088999936,78.0,43.0,1436.0,17.0,54.0,,6.0,
600.128999936,78.0,40.0,806.0,0.0,54.0,,6.0,
612.138000128,78.0,94.0,1640.0,46.0,54.0,,6.0,
624.1750000640001,78.0,57.0,1466.0,47.0,54.0,,13.0,
636.197000192,78.0,25.0,1387.0,41.0,53.0,,9.0,
648.236,78.0,22.0,1496.0,56.0,51.0,,26.0,
660.256999936,77.0,38.0,1274.0,11.0,52.0,,5.0,
672.288,77.0,38.0,833.0,0.0,53.0,,6.0,
684.312,77.0,42.0,1384.0,38.0,52.0,,15.0,
696.3390000640001,77.0,22.0,1902.0,55.0,50.0,,39.0,
708.3760000000001,78.0,95.0,864.0,35.0,52.0,,6.0,
720.399000064,78.0,48.0,1727.0,57.0,50.0,,17.0,
732.426000128,78.0,38.0,1341.0,32.0,51.0,,5.0,
744.4480000000001,78.0,98.0,1489.0,50.0,50.0,,52.0,
756.477000192,78.0,21.0,1835.0,42.0,50.0,,6.0,
768.4980001280001,78.0,37.0,825.0,0.0,50.0,,5.0,
780.527000064,79.0,94.0,837.0,27.0,51.0,,6.0,
792.548,79.0,81.0,1439.0,48.0,50.0,,26.0,
804.5680000000001,80.0,92.0,1301.0,33.0,51.0,,5.0,
816.5880000000001,80.0,22.0,1838.0,52.0,48.0,,32.0,
828.62,79.0,36.0,1425.0,50.0,50.0,,7.0,
840.648999936,79.0,21.0,1370.0,47.0,50.0,,11.0,
852.668,78.0,37.0,1088.0,8.0,50.0,,5.0,
864.6790000640001,79.0,76.0,1238.0,37.0,50.0,,17.0,
876.7040000000001,79.0,54.0,1676.0,45.0,49.0,,16.0,
888.7360000000001,79.0,45.0,1439.0,46.0,49.0,,12.0,
900.768,79.0,43.0,1927.0,51.0,49.0,,10.0,
912.7810001920001,79.0,40.0,1446.0,38.0,50.0,,10.0,
924.806000128,79.0,34.0,1463.0,50.0,49.0,,12.0,
936.8280000000001,79.0,50.0,1283.0,41.0,50.0,,6.0,
948.8630000640001,78.0,74.0,1753.0,56.0,48.0,,9.0,
960.888,78.0,23.0,2043.0,46.0,48.0,,6.0,
972.912999936,78.0,32.0,1831.0,55.0,48.0,,12.0,
984.9430000640001,78.0,38.0,1394.0,31.0,49.0,,5.0,
996.9680000000001,78.0,94.0,1607.0,51.0,48.0,,15.0,
1008.9980001280001,78.0,51.0,2110.0,60.0,47.0,,13.0,
1021.018000128,78.0,80.0,2115.0,67.0,47.0,,13.0,
1033.038000128,78.0,62.0,2615.0,73.0,46.0,,13.0,
1045.063000064,78.0,55.0,2559.0,72.0,46.0,,11.0,
1057.0990000640002,79.0,22.0,2560.0,73.0,45.0,,23.0,
1069.126000128,79.0,30.0,2688.0,65.0,46.0,,10.0,
1081.1480000000001,79.0,18.0,2207.0,63.0,47.0,,6.0,
1093.1670000640001,79.0,56.0,1968.0,55.0,47.0,,6.0,
1105.192,79.0,52.0,1933.0,50.0,47.0,,13.0,
1117.208999936,79.0,57.0,1818.0,47.0,46.0,,14.0,
1129.2329999360002,80.0,19.0,1613.0,47.0,46.0,,18.0,
1141.268,79.0,38.0,1738.0,26.0,47.0,,6.0,
1153.299000064,80.0,33.0,1432.0,27.0,46.0,,12.0,
1165.319000064,80.0,37.0,1360.0,21.0,47.0,,14.0,
1177.3390000640002,80.0,36.0,866.0,15.0,47.0,,5.0,
1189.3680000000002,80.0,44.0,1617.0,33.0,47.0,,8.0,
1201.3870000640002,80.0,39.0,1611.0,27.0,47.0,,6.0,
1213.413000192,81.0,26.0,1526.0,37.0,47.0,,6.0,
1225.438000128,81.0,34.0,1415.0,43.0,47.0,,5.0,
1237.448,80.0,55.0,1495.0,38.0,48.0,,5.0,
1249.478000128,79.0,59.0,1608.0,47.0,47.0,,12.0,
