Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
4946.410000128,63.0,34.0,2250.0,68.0,35.0,,7.0,
4958.424,63.0,50.0,2276.0,72.0,36.0,,13.0,
4970.445000192,62.0,48.0,2159.0,66.0,36.0,,15.0,
4982.491000064,62.0,19.0,2146.0,65.0,36.0,,5.0,
4994.502000128,61.0,52.0,2109.0,73.0,36.0,,13.0,
5006.5180001280005,60.0,54.0,2393.0,81.0,36.0,,16.0,
5018.538000128,60.0,50.0,2669.0,87.0,36.0,,16.0,
5030.547000064001,60.0,30.0,2876.0,92.0,36.0,,15.0,
5042.554000128001,60.0,53.0,3039.0,101.0,36.0,,15.0,
5054.567000064,59.0,55.0,3168.0,93.0,36.0,,20.0,
5066.578000128,60.0,68.0,2859.0,90.0,35.0,,23.0,
5078.587000064001,60.0,59.0,2909.0,90.0,36.0,,17.0,
5090.598000128,60.0,29.0,2856.0,85.0,36.0,,9.0,
5102.606000128,60.0,49.0,2629.0,83.0,36.0,,11.0,
5114.618000128,60.0,49.0,2671.0,86.0,36.0,,15.0,
5126.624000000001,60.0,55.0,2816.0,92.0,36.0,,17.0,
5138.641000192,60.0,56.0,2941.0,95.0,36.0,,17.0,
5150.654000128,60.0,57.0,3068.0,100.0,35.0,,19.0,
5162.663000064001,60.0,57.0,3190.0,102.0,35.0,,21.0,
5174.674000128,60.0,41.0,3201.0,98.0,35.0,,17.0,
5186.685000192,60.0,19.0,2936.0,82.0,36.0,,7.0,
5198.698000128,60.0,54.0,2484.0,78.0,36.0,,9.0,
5210.703000064001,60.0,57.0,2576.0,87.0,36.0,,18.0,
5222.717000192,60.0,25.0,2767.0,85.0,35.0,,15.0,
5237.727000064,60.0,28.0,2551.0,77.0,36.0,,7.0,
5249.738000128001,59.0,48.0,2440.0,80.0,36.0,,11.0,
5264.752,59.0,51.0,2686.0,96.0,36.0,,13.0,
5276.762000128,59.0,48.0,3111.0,95.0,36.0,,12.0,
5288.783000064001,58.0,35.0,2767.0,82.0,36.0,,7.0,
5300.793000192,58.0,47.0,2606.0,83.0,36.0,,12.0,
5312.810000128,58.0,50.0,2631.0,85.0,36.0,,12.0,
5324.847000064,58.0,41.0,2947.0,92.0,35.0,,18.0,
5336.861000192001,59.0,20.0,3007.0,98.0,35.0,,13.0,
5348.882000128,58.0,29.0,3085.0,95.0,36.0,,17.0,
5360.893000192001,58.0,19.0,2883.0,58.0,36.0,,7.0,
5372.904,58.0,37.0,1334.0,41.0,36.0,,4.0,
5384.913000192,59.0,19.0,1953.0,53.0,35.0,,23.0,
5396.930000128001,59.0,53.0,1588.0,58.0,36.0,,9.0,
5408.946000128,60.0,18.0,1834.0,51.0,36.0,,4.0,
5420.954000128,59.0,29.0,1257.0,15.0,36.0,,4.0,
5432.970000128001,60.0,33.0,779.0,25.0,36.0,,4.0,
5444.990000128,60.0,20.0,1299.0,33.0,36.0,,7.0,
5457.005000192,62.0,30.0,863.0,11.0,36.0,,3.0,
5469.0170001920005,63.0,39.0,839.0,5.0,36.0,,3.0,
5481.04,66.0,59.0,817.0,5.0,37.0,,3.0,
5493.050000128001,68.0,65.0,807.0,15.0,37.0,,3.0,
5505.061000192,69.0,28.0,1349.0,30.0,37.0,,14.0,
5517.0930001920005,71.0,28.0,1377.0,37.0,37.0,,5.0,
5529.118000128,71.0,38.0,1423.0,45.0,37.0,,7.0,
5541.138000128,70.0,24.0,1370.0,41.0,37.0,,8.0,
5553.146000128,69.0,86.0,1215.0,42.0,38.0,,4.0,
5565.163000064001,69.0,24.0,1373.0,40.0,37.0,,7.0,
5577.180000256,69.0,29.0,1159.0,11.0,37.0,,4.0,
5589.204000256001,69.0,54.0,795.0,13.0,38.0,,4.0,
5601.232,70.0,49.0,1226.0,18.0,38.0,,9.0,
5613.2470000640005,72.0,48.0,1654.0,20.0,39.0,,9.0,
5625.262000128,73.0,73.0,1180.0,22.0,39.0,,3.0,
5637.268000256,74.0,95.0,2078.0,58.0,39.0,,41.0,
5649.285000192001,74.0,66.0,2602.0,71.0,38.0,,32.0,
5661.296,73.0,22.0,1975.0,56.0,38.0,,12.0,
5673.308000256,72.0,30.0,1541.0,31.0,39.0,,3.0,
5685.321000192001,70.0,72.0,1409.0,40.0,39.0,,8.0,
5697.333000192,69.0,83.0,1970.0,57.0,39.0,,18.0,
5709.341000192,69.0,52.0,2018.0,70.0,39.0,,18.0,
5721.350000128,68.0,20.0,1944.0,46.0,39.0,,9.0,
5733.358000128001,67.0,70.0,1323.0,38.0,39.0,,17.0,
5745.387000064,67.0,25.0,1913.0,62.0,38.0,,19.0,
5757.4040002560005,67.0,30.0,1970.0,15.0,39.0,,4.0,
5769.415000064,67.0,55.0,1746.0,48.0,39.0,,19.0,
5781.423000064,67.0,65.0,2213.0,65.0,39.0,,5.0,
5793.434000128001,67.0,26.0,2135.0,30.0,39.0,,14.0,
5805.446000128,66.0,58.0,1777.0,41.0,39.0,,6.0,
5817.457000192,67.0,66.0,1982.0,62.0,39.0,,14.0,
5829.470000128001,66.0,65.0,2091.0,73.0,39.0,,16.0,
5841.4790000640005,66.0,47.0,2389.0,80.0,38.0,,16.0,
5853.492000256,66.0,27.0,2427.0,73.0,38.0,,13.0,
5865.505000192001,65.0,31.0,2063.0,13.0,39.0,,4.0,
5877.52,64.0,76.0,1475.0,45.0,39.0,,15.0,
5889.530000128,65.0,17.0,1661.0,47.0,38.0,,13.0,
5901.549000192001,65.0,70.0,816.0,31.0,39.0,,7.0,
5913.559000064,66.0,83.0,2408.0,65.0,39.0,,17.0,
5925.590000128001,66.0,44.0,2207.0,73.0,38.0,,15.0,
5937.606000128,66.0,38.0,2377.0,72.0,38.0,,11.0,
5949.615000064,65.0,46.0,2227.0,70.0,39.0,,11.0,
5961.635000064,64.0,51.0,2167.0,63.0,38.0,,13.0,
5973.648,64.0,28.0,1978.0,57.0,38.0,,4.0,
5985.663000064001,64.0,61.0,1836.0,63.0,39.0,,9.0,
5997.6730001920005,64.0,18.0,2000.0,55.0,38.0,,5.0,
6009.706000128001,63.0,32.0,1225.0,11.0,39.0,,3.0,
6021.726000128,64.0,97.0,1250.0,46.0,39.0,,17.0,
6033.737000192001,65.0,81.0,2656.0,85.0,38.0,,41.0,
6045.756000256,65.0,48.0,2720.0,82.0,38.0,,13.0,
6057.771000064,64.0,34.0,2640.0,85.0,38.0,,15.0,
6069.7870000640005,63.0,29.0,1926.0,15.0,39.0,,3.0,
6081.799000064,63.0,81.0,1947.0,47.0,38.0,,14.0,
6093.808,65.0,27.0,2104.0,61.0,37.0,,35.0,
6105.818000128001,66.0,67.0,2007.0,65.0,37.0,,33.0,
6117.828000256,66.0,68.0,2050.0,65.0,37.0,,17.0,
6129.839000064,66.0,18.0,1967.0,38.0,37.0,,7.0,
6141.847000064,66.0,90.0,1038.0,41.0,38.0,,26.0,
6153.854000128001,66.0,76.0,2160.0,65.0,37.0,,23.0,
6165.868000256,66.0,42.0,2256.0,71.0,37.0,,18.0,
6177.886000128,66.0,40.0,2075.0,66.0,38.0,,13.0,
6189.898000128001,65.0,18.0,2059.0,58.0,38.0,,6.0,
6201.911000064,64.0,70.0,1275.0,18.0,39.0,,4.0,
6213.927000064001,64.0,37.0,1480.0,35.0,38.0,,9.0,
6225.936000000001,66.0,53.0,1692.0,51.0,38.0,,13.0,
6237.951000064,66.0,47.0,1696.0,60.0,38.0,,18.0,
6249.961000192,66.0,48.0,1771.0,52.0,39.0,,4.0,
6261.9800002560005,66.0,31.0,1572.0,21.0,39.0,,2.0,
6274.0,66.0,30.0,1054.0,2.0,39.0,,4.0,
6286.013000192001,66.0,29.0,802.0,0.0,39.0,,2.0,
6298.0190000640005,68.0,42.0,1019.0,16.0,39.0,,7.0,
6310.028000256,70.0,22.0,1307.0,10.0,39.0,,5.0,
6322.042000128001,72.0,33.0,771.0,0.0,39.0,,4.0,
6334.052000256001,74.0,34.0,1169.0,1.0,39.0,,5.0,
6346.062000128,75.0,31.0,791.0,0.0,39.0,,3.0,
6358.073000192,77.0,30.0,774.0,0.0,39.0,,3.0,
6370.085000192001,78.0,39.0,772.0,0.0,39.0,,2.0,
6382.0960000000005,80.0,25.0,1588.0,27.0,39.0,,10.0,
6394.110000128,81.0,42.0,1894.0,40.0,40.0,,11.0,
6406.120000000001,81.0,60.0,878.0,28.0,40.0,,3.0,
6418.130000128001,81.0,26.0,2142.0,48.0,40.0,,12.0,
6430.139000064,80.0,66.0,1541.0,25.0,41.0,,4.0,
6442.154000128,79.0,65.0,1703.0,27.0,41.0,,3.0,
6454.165000192001,79.0,23.0,1158.0,32.0,41.0,,6.0,
6466.178000128,79.0,28.0,1346.0,17.0,41.0,,7.0,
6478.188000256,79.0,34.0,1099.0,2.0,42.0,,6.0,
6490.198000128001,80.0,32.0,747.0,0.0,42.0,,3.0,
6502.2100001280005,81.0,31.0,764.0,0.0,42.0,,3.0,
6534.091000064001,83.0,30.0,763.0,0.0,42.0,,2.0,
6546.104,87.0,72.0,823.0,13.0,43.0,,3.0,
6558.118000128001,87.0,50.0,1183.0,8.0,43.0,,4.0,
6570.1320002560005,88.0,46.0,672.0,1.0,43.0,,4.0,
6585.612000256,89.0,52.0,817.0,1.0,43.0,,4.0,
18025.183000064,57.0,70.0,1219.0,22.0,35.0,,4.0,
18037.192000000003,57.0,63.0,1668.0,41.0,34.0,,14.0,
18049.201000192003,57.0,56.0,1862.0,51.0,33.0,,13.0,
18061.218000128,57.0,47.0,1765.0,58.0,33.0,,11.0,
18073.235000064,57.0,44.0,1919.0,63.0,33.0,,11.0,
18085.248,57.0,19.0,1897.0,51.0,33.0,,11.0,
18097.265000192,56.0,27.0,1701.0,27.0,33.0,,9.0,
18109.273000192003,55.0,44.0,2210.0,41.0,33.0,,13.0,
18121.289000192002,56.0,50.0,2414.0,52.0,33.0,,11.0,
18133.298000128,56.0,18.0,1844.0,62.0,33.0,,7.0,
18145.313000192,55.0,35.0,1978.0,62.0,33.0,,4.0,
18157.328,54.0,19.0,1949.0,61.0,33.0,,4.0,
18169.343000064,52.0,77.0,1475.0,28.0,33.0,,4.0,
18181.36,52.0,69.0,2127.0,48.0,33.0,,15.0,
18193.387000064,53.0,24.0,1637.0,50.0,33.0,,12.0,
18205.398000128,54.0,36.0,1476.0,51.0,33.0,,10.0,
18217.409000192,54.0,73.0,1585.0,53.0,33.0,,6.0,
18229.420000256003,54.0,21.0,1768.0,43.0,33.0,,13.0,
18241.443000064002,54.0,27.0,1435.0,36.0,33.0,,15.0,
18253.456000000002,54.0,71.0,885.0,30.0,33.0,,2.0,
18265.466000128003,55.0,79.0,1452.0,45.0,33.0,,17.0,
18277.478000128,56.0,59.0,1573.0,55.0,33.0,,13.0,
18289.487000064,57.0,68.0,1803.0,60.0,33.0,,11.0,
18301.505000192003,57.0,20.0,1985.0,66.0,33.0,,10.0,
18313.523000064,56.0,35.0,1816.0,53.0,33.0,,3.0,
18325.535000064003,55.0,20.0,1721.0,43.0,33.0,,3.0,
18337.545000192,54.0,47.0,1554.0,57.0,33.0,,15.0,
18349.553000192,54.0,50.0,1832.0,53.0,33.0,,7.0,
18361.570000128002,54.0,42.0,1757.0,56.0,33.0,,11.0,
18373.578000128,54.0,23.0,1615.0,43.0,33.0,,10.0,
18385.585000192,54.0,56.0,1502.0,37.0,33.0,,14.0,
18397.597000192,56.0,19.0,1818.0,42.0,33.0,,12.0,
18409.610000128003,57.0,30.0,1163.0,11.0,33.0,,4.0,
18421.621000192,57.0,26.0,1299.0,52.0,33.0,,28.0,
18433.634000128,59.0,18.0,2033.0,41.0,33.0,,4.0,
18445.653000192,59.0,42.0,1663.0,48.0,33.0,,4.0,
18457.664,59.0,22.0,1661.0,51.0,33.0,,10.0,
18469.683000064,59.0,26.0,1563.0,50.0,33.0,,8.0,
18481.703000064,59.0,21.0,1604.0,42.0,33.0,,9.0,
18493.725000192,59.0,44.0,1318.0,43.0,33.0,,8.0,
18505.741000192,59.0,26.0,1175.0,11.0,33.0,,4.0,
18517.761000192,60.0,44.0,828.0,15.0,33.0,,3.0,
18529.784,62.0,45.0,1421.0,30.0,33.0,,12.0,
18541.797000192,63.0,51.0,1321.0,33.0,33.0,,5.0,
18553.813000192,63.0,41.0,1139.0,37.0,33.0,,11.0,
18565.833000192,63.0,75.0,1032.0,32.0,34.0,,5.0,
18577.853000192,64.0,61.0,1184.0,7.0,34.0,,4.0,
18589.869000192,65.0,63.0,1140.0,22.0,34.0,,7.0,
18601.883000064,66.0,56.0,1355.0,26.0,34.0,,9.0,
18613.903000064,67.0,60.0,1311.0,20.0,34.0,,9.0,
18625.924000256,68.0,37.0,1389.0,23.0,34.0,,10.0,
18637.933000192003,69.0,29.0,1326.0,22.0,34.0,,4.0,
18649.954000128,69.0,30.0,915.0,12.0,34.0,,2.0,
18661.974000128,70.0,31.0,1471.0,28.0,34.0,,14.0,
18673.988000256002,71.0,50.0,1899.0,38.0,35.0,,9.0,
18686.007000064,71.0,34.0,1542.0,38.0,35.0,,5.0,
18698.028000256,71.0,26.0,1614.0,35.0,35.0,,3.0,
18710.041000192003,70.0,21.0,1486.0,33.0,35.0,,4.0,
18722.050000128,69.0,31.0,828.0,13.0,35.0,,3.0,
18734.064000000002,70.0,28.0,1032.0,16.0,35.0,,5.0,
18746.08,71.0,46.0,1198.0,23.0,35.0,,4.0,
18758.101000192,72.0,33.0,1662.0,31.0,35.0,,5.0,
18770.112,72.0,24.0,1724.0,36.0,36.0,,3.0,
18782.133000192,72.0,18.0,1645.0,48.0,36.0,,6.0,
18794.144,71.0,23.0,1390.0,42.0,36.0,,4.0,
18806.163000064,69.0,17.0,1529.0,52.0,36.0,,4.0,
18818.179000064,68.0,22.0,1588.0,37.0,36.0,,3.0,
18830.193000192,66.0,22.0,825.0,13.0,36.0,,3.0,
18842.204000256002,66.0,41.0,1367.0,35.0,36.0,,11.0,
18854.217000192002,67.0,61.0,1838.0,40.0,36.0,,6.0,
18866.230000128002,68.0,41.0,1621.0,41.0,36.0,,6.0,
18878.247000064002,68.0,36.0,1776.0,47.0,36.0,,9.0,
18890.260000256003,67.0,24.0,1845.0,40.0,36.0,,3.0,
18902.280000000002,67.0,27.0,1606.0,23.0,36.0,,5.0,
18914.289000192002,67.0,31.0,846.0,2.0,37.0,,3.0,
18926.302000128002,69.0,35.0,859.0,1.0,37.0,,5.0,
18938.315000064,70.0,48.0,825.0,11.0,37.0,,4.0,
18950.336000000003,72.0,32.0,1489.0,18.0,37.0,,10.0,
18962.350000128,73.0,39.0,798.0,12.0,37.0,,2.0,
18974.369000192,75.0,71.0,1475.0,37.0,37.0,,22.0,
18986.382000128,75.0,31.0,2314.0,11.0,37.0,,16.0,
18998.394000128003,76.0,36.0,1983.0,37.0,37.0,,15.0,
