Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
0.0,76.0,49.0,771.0,0.0,45.0,,12.0,
8.017000192000001,76.0,49.0,777.0,0.0,46.0,,13.0,
16.076000256,76.0,48.0,918.0,0.0,46.0,,13.0,
24.081000192,76.0,49.0,786.0,0.0,46.0,,13.0,
2880.442000128,66.0,51.0,803.0,0.0,48.0,,13.0,
2888.4660001280004,67.0,47.0,822.0,0.0,48.0,,13.0,
2896.495000064,68.0,61.0,769.0,0.0,48.0,,12.0,
2904.5420001280004,69.0,67.0,1168.0,10.0,48.0,,14.0,
2912.5820001280003,71.0,94.0,2012.0,28.0,48.0,,31.0,
2920.617000192,75.0,59.0,2576.0,41.0,46.0,,24.0,
2928.687000064,78.0,45.0,2576.0,37.0,46.0,,15.0,
2936.7160002560004,81.0,31.0,2340.0,35.0,46.0,,15.0,
2944.7550000640003,82.0,46.0,1664.0,7.0,47.0,,13.0,
2952.767000064,78.0,43.0,1607.0,23.0,47.0,,16.0,
2960.801000192,72.0,31.0,1729.0,34.0,47.0,,15.0,
2968.860000256,72.0,31.0,1806.0,32.0,47.0,,14.0,
2976.8890001920004,75.0,33.0,1554.0,20.0,47.0,,13.0,
2984.9260001280004,76.0,51.0,843.0,0.0,47.0,,13.0,
2992.9700001280003,78.0,51.0,782.0,14.0,46.0,,12.0,
3001.0090001920003,78.0,57.0,995.0,15.0,46.0,,13.0,
3009.017000192,78.0,51.0,904.0,0.0,46.0,,13.0,
3017.057000192,78.0,50.0,794.0,0.0,46.0,,12.0,
3025.116000256,77.0,49.0,782.0,0.0,46.0,,12.0,
3033.134000128,76.0,50.0,783.0,0.0,47.0,,12.0,
3041.153000192,75.0,61.0,777.0,9.0,47.0,,12.0,
3049.2010001920003,74.0,51.0,2284.0,23.0,46.0,,18.0,
3057.2350000640004,74.0,32.0,2056.0,23.0,46.0,,15.0,
3065.301000192,75.0,32.0,1646.0,23.0,47.0,,18.0,
3073.325000192,75.0,41.0,1689.0,12.0,47.0,,13.0,
3081.3930001920003,76.0,51.0,1021.0,13.0,47.0,,15.0,
3089.4310000640003,75.0,43.0,1474.0,14.0,47.0,,16.0,
3097.462000128,75.0,32.0,1789.0,13.0,48.0,,16.0,
3105.5030000640004,76.0,51.0,802.0,3.0,48.0,,13.0,
3113.5250001920003,76.0,46.0,782.0,8.0,48.0,,13.0,
3121.628000256,77.0,49.0,1559.0,3.0,48.0,,13.0,
3129.6590000640003,77.0,50.0,829.0,0.0,48.0,,13.0,
3137.707000064,78.0,50.0,790.0,1.0,48.0,,13.0,
3145.7340001280004,78.0,49.0,790.0,0.0,48.0,,13.0,
3153.790000128,77.0,59.0,777.0,9.0,48.0,,13.0,
3161.844000256,76.0,33.0,1347.0,12.0,48.0,,17.0,
3169.8540001280003,76.0,46.0,950.0,6.0,48.0,,13.0,
3177.8710000640003,76.0,43.0,1378.0,14.0,49.0,,15.0,
3185.915000064,75.0,46.0,1251.0,8.0,49.0,,14.0,
3193.939000064,75.0,33.0,2052.0,21.0,49.0,,18.0,
3201.9690001920003,76.0,36.0,1319.0,21.0,50.0,,13.0,
3210.0020001280004,76.0,55.0,798.0,19.0,50.0,,16.0,
3218.050000128,75.0,54.0,1538.0,32.0,50.0,,17.0,
3226.0790000640004,76.0,47.0,961.0,4.0,50.0,,11.0,
3234.1210001920003,77.0,49.0,803.0,0.0,50.0,,13.0,
3242.150000128,78.0,50.0,799.0,0.0,50.0,,17.0,
3250.1800002560003,78.0,49.0,791.0,0.0,50.0,,13.0,
3258.2160000000003,78.0,49.0,783.0,0.0,50.0,,12.0,
3266.2540001280004,77.0,49.0,788.0,0.0,50.0,,12.0,
3274.281000192,77.0,49.0,782.0,0.0,50.0,,12.0,
3282.284000256,76.0,44.0,777.0,8.0,50.0,,13.0,
3290.3340001280003,75.0,34.0,2363.0,25.0,51.0,,20.0,
3298.3740001280003,75.0,40.0,1795.0,16.0,51.0,,17.0,
3306.4,76.0,68.0,1586.0,19.0,51.0,,18.0,
3314.4120002560003,77.0,40.0,1191.0,10.0,51.0,,12.0,
3322.444000256,76.0,44.0,1871.0,12.0,51.0,,18.0,
3330.457000192,77.0,46.0,1428.0,26.0,51.0,,16.0,
3338.5060001280003,77.0,37.0,1644.0,14.0,51.0,,13.0,
3346.5480002560003,78.0,76.0,799.0,11.0,52.0,,13.0,
3354.5810001920004,78.0,51.0,818.0,2.0,52.0,,13.0,
3362.6220001280003,78.0,49.0,976.0,3.0,52.0,,12.0,
3370.684000256,78.0,51.0,828.0,1.0,52.0,,12.0,
3378.7020001280002,78.0,41.0,792.0,0.0,52.0,,12.0,
16786.333000192,45.0,38.0,926.0,0.0,27.0,,12.0,
