Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
96,84.0,21,1442.0,27.0,33.0,4.01,21.20,4.0
97,83.0,20,1282.0,23.0,33.0,3.61,20.40,4.0
98,83.0,30,1109.0,20.0,33.0,3.66,19.20,4.0
99,83.0,34,1001.0,20.0,33.0,5.38,23.10,4.0
100,83.0,33,964.0,,34.0,4.73,18.80,4.0
101,83.0,29,1004.0,9.0,33.0,6.6,25.90,4.0
102,83.0,36,782.0,0.0,34.0,4.4,20.40,4.0
103,84.0,61,790.0,,33.0,4.68,21.20,4.0
104,84.0,53,1767.0,9.0,32.0,16.79,32.20,4.0
105,84.0,19,1183.0,17.0,32.0,11.82,30.20,4.0
106,84.0,41,831.0,9.0,33.0,5.52,24.70,4.0
107,84.0,69,984.0,22.0,32.0,14.86,32.50,4.0
108,84.0,56,1336.0,,32.0,12.26,31.00,4.0
109,84.0,35,1515.0,32.0,32.0,13.87,31.00,4.0
110,85.0,56,1083.0,35.0,32.0,12.14,30.60,4.0
111,85.0,49,1187.0,36.0,32.0,11.01,29.40,4.0
112,85.0,18,1226.0,34.0,32.0,8.4,27.10,4.0
113,85.0,40,1100.0,34.0,32.0,7.47,26.30,4.0
114,85.0,38,1155.0,36.0,32.0,7.73,26.30,4.0
115,85.0,20,1244.0,37.0,32.0,7.96,26.70,4.0
116,85.0,31,1243.0,38.0,32.0,6.62,25.10,4.0
117,84.0,35,1252.0,38.0,32.0,3.14,19.60,4.0
118,84.0,26,1307.0,40.0,32.0,7.71,26.30,4.0
119,84.0,19,1309.0,37.0,32.0,3.4,20.40,4.0
120,83.0,20,1176.0,,33.0,3.45,19.60,4.0
121,83.0,19,836.0,31.0,33.0,4,19.20,4.0
122,83.0,19,1300.0,24.0,33.0,3.5,20.40,4.0
123,83.0,48,1160.0,24.0,33.0,3.42,19.60,4.0
124,82.0,41,1255.0,29.0,33.0,9.93,28.60,4.0
125,82.0,45,929.0,35.0,32.0,6.59,25.10,4.0
126,83.0,32,956.0,,33.0,6.76,25.50,4.0
127,83.0,27,933.0,31.0,33.0,1.98,17.60,4.0
128,83.0,53,1189.0,34.0,32.0,11.04,30.60,4.0
129,83.0,53,1778.0,41.0,32.0,16.6,32.20,4.0
130,82.0,21,2078.0,,32.0,19.28,32.90,4.0
131,82.0,39,1135.0,39.0,33.0,3.34,18.80,4.0
132,82.0,22,1096.0,38.0,33.0,7.05,25.90,4.0
133,82.0,30,1025.0,37.0,33.0,2.94,18.80,4.0
134,82.0,38,1185.0,36.0,32.0,8.25,27.10,4.0
135,83.0,39,1199.0,36.0,32.0,8.38,26.70,4.0
136,83.0,18,1229.0,35.0,32.0,7.09,25.50,4.0
137,83.0,31,1137.0,32.0,33.0,3.23,18.80,4.0
138,83.0,28,1540.0,29.0,33.0,4.03,21.60,4.0
139,82.0,34,1431.0,31.0,32.0,8.37,26.70,4.0
