Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
0.0,86.0,,754.0,0.0,43.0,2.61,13.0,30.0
8.028,86.0,,763.0,16.0,43.0,2.63,13.0,30.0
16.060000000000002,86.0,,1263.0,38.0,44.0,15.58,27.0,30.0
24.097999872000003,86.0,,1645.0,44.0,44.0,16.61,24.0,30.0
32.139000064,87.0,,1829.0,41.0,44.0,4.63,14.0,30.0
40.179000064,86.0,,1450.0,39.0,44.0,12.3,20.0,30.0
48.213999872,86.0,,1575.0,51.0,43.0,17.02,23.0,30.0
56.24,86.0,,1915.0,46.0,43.0,13.36,20.0,30.0
64.269999872,84.0,,875.0,6.0,44.0,2.61,13.0,30.0
72.28999987200001,85.0,,733.0,0.0,45.0,2.63,13.0,30.0
80.324,85.0,,754.0,0.0,45.0,2.69,13.0,30.0
88.34999987200001,86.0,,774.0,11.0,45.0,2.69,13.0,30.0
96.36800000000001,86.0,,2048.0,32.0,46.0,21.58,26.0,30.0
104.39399987200001,87.0,,1469.0,47.0,45.0,16.97,48.0,30.0
112.420999936,87.0,,1902.0,50.0,45.0,4.02,14.0,30.0
120.433999872,85.0,,1904.0,48.0,45.0,3.52,13.0,30.0
128.449999872,84.0,,2001.0,56.0,45.0,16.58,22.0,30.0
136.477999872,84.0,,1338.0,43.0,45.0,2.33,13.0,30.0
144.510999808,84.0,,840.0,25.0,45.0,1.86,12.0,30.0
152.536,85.0,,987.0,39.0,45.0,10.8,49.0,30.0
160.57600000000002,86.0,,755.0,9.0,45.0,2.88,13.0,30.0
168.598999808,86.0,,739.0,0.0,46.0,2.52,13.0,30.0
176.62599987200002,86.0,,752.0,2.0,46.0,2.66,13.0,30.0
184.656,84.0,,1987.0,32.0,47.0,6.38,15.0,30.0
192.67399987200002,85.0,,1247.0,45.0,47.0,10.94,21.0,30.0
200.692999936,85.0,,1526.0,56.0,46.0,2.8,13.0,30.0
208.72,84.0,,1863.0,60.0,45.0,3.86,14.0,30.0
216.756999936,83.0,,2092.0,68.0,45.0,3.97,14.0,30.0
224.79500006400002,81.0,,1930.0,53.0,45.0,3.5,13.0,30.0
232.83399987200002,81.0,,1447.0,53.0,45.0,3.19,13.0,30.0
240.85699993600002,83.0,,1477.0,51.0,44.0,20.66,23.0,30.0
248.89200000000002,84.0,,1347.0,36.0,44.0,2.44,14.0,30.0
256.918999808,84.0,,1206.0,48.0,43.0,14.02,48.0,30.0
264.94999987200003,85.0,,1662.0,58.0,42.0,20.44,49.0,30.0
272.969999872,86.0,,1694.0,60.0,40.0,19.25,50.0,30.0
280.99799987200004,86.0,,2035.0,69.0,40.0,10.8,18.0,30.0
289.03399987200004,84.0,,1726.0,50.0,42.0,2.88,13.0,30.0
297.052,84.0,,1365.0,41.0,42.0,2.52,13.0,30.0
305.08300006400003,84.0,,1460.0,56.0,40.0,17.02,49.0,30.0
313.116999936,84.0,,1415.0,42.0,42.0,2.58,13.0,30.0
321.15200000000004,84.0,,1290.0,39.0,42.0,2.27,12.0,30.0
329.16899993600003,84.0,,1068.0,25.0,42.0,2.08,12.0,30.0
337.20300006400004,84.0,,863.0,11.0,42.0,2.8,13.0,30.0
345.232,84.0,,1510.0,33.0,42.0,3,21.0,30.0
353.26499993600004,85.0,,1404.0,43.0,42.0,11.97,20.0,30.0
361.29900006400004,84.0,,1504.0,44.0,42.0,2.69,13.0,30.0
369.334999808,85.0,,776.0,25.0,43.0,2.86,13.0,30.0
377.36,85.0,,1634.0,30.0,43.0,2.91,13.0,30.0
385.39399987200005,84.0,,1917.0,41.0,43.0,12,19.0,30.0
393.409999872,84.0,,1931.0,37.0,43.0,9.3,17.0,30.0
401.438999808,85.0,,788.0,19.0,44.0,2.44,13.0,30.0
409.478999808,86.0,,794.0,3.0,44.0,2.27,12.0,30.0
417.51699993600005,86.0,,741.0,0.0,44.0,2.44,13.0,30.0
425.56099993600003,87.0,,743.0,0.0,45.0,2.5,13.0,30.0
433.597999872,85.0,,1602.0,27.0,45.0,13,21.0,30.0
441.640999936,85.0,,1253.0,35.0,45.0,13,21.0,30.0
449.67600000000004,86.0,,1721.0,48.0,44.0,3.83,13.0,30.0
457.71200000000005,85.0,,1777.0,46.0,44.0,3.19,13.0,30.0
465.74,84.0,,740.0,31.0,44.0,2.8,13.0,30.0
473.774999808,84.0,,1906.0,39.0,44.0,3.91,13.0,30.0
481.79099980800004,86.0,,777.0,20.0,44.0,2.47,13.0,30.0
489.812,86.0,,741.0,0.0,45.0,2.41,13.0,30.0
497.824,86.0,,752.0,0.0,45.0,2.5,13.0,30.0
505.84599987200005,86.0,,748.0,0.0,45.0,2.47,13.0,30.0
513.8619998720001,85.0,,753.0,0.0,46.0,2.5,13.0,30.0
521.888999936,85.0,,768.0,0.0,46.0,2.55,13.0,30.0
529.9099998720001,85.0,,744.0,0.0,46.0,2.5,13.0,30.0
537.944999936,85.0,,990.0,1.0,47.0,3.83,14.0,30.0
545.993999872,86.0,,1249.0,13.0,48.0,7.66,17.0,30.0
554.02,86.0,,2011.0,35.0,47.0,18.55,22.0,30.0
562.032999936,86.0,,2053.0,36.0,46.0,4.16,14.0,30.0
570.0590000640001,84.0,,881.0,6.0,47.0,1.66,12.0,30.0
578.0830000640001,85.0,,805.0,10.0,47.0,3.16,13.0,30.0
586.105999872,86.0,,838.0,19.0,48.0,9.8,18.0,30.0
594.116,86.0,,788.0,0.0,48.0,2.77,13.0,30.0
602.156999936,87.0,,1398.0,3.0,48.0,9.63,18.0,30.0
610.2030000640001,87.0,,738.0,0.0,49.0,2.63,13.0,30.0
618.235000064,87.0,,921.0,0.0,50.0,3.83,13.0,30.0
