Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
0,82,61,2124.0,48.0,36,24.77,34.90,28.0
1,83,44,2617.0,60.0,36,30.96,36.10,28.0
2,83,35,3005.0,64.0,36,18.58,32.20,28.0
3,82,63,3156.0,65.0,36,18.38,32.50,28.0
4,82,47,1798.0,67.0,36,19.77,33.30,28.0
5,83,32,1818.0,65.0,36,9.99,28.60,28.0
6,83,35,1765.0,63.0,37,8.33,27.10,28.0
7,83,43,1721.0,63.0,36,12.56,30.20,28.0
8,82,34,1716.0,63.0,37,10.69,29.00,28.0
9,82,33,1759.0,67.0,37,9.78,28.60,28.0
10,82,31,1859.0,68.0,36,10.49,28.60,28.0
11,82,31,1867.0,67.0,36,9.47,28.20,28.0
12,82,19,1801.0,63.0,37,8.58,27.10,28.0
13,83,19,1692.0,51.0,37,8.84,27.50,28.0
14,83,51,959.0,22.0,37,4.03,20.40,28.0
15,83,76,775.0,30.0,36,5.07,20.40,28.0
16,82,70,2871.0,43.0,35,48.21,42.00,28.0
17,82,48,2223.0,50.0,35,25.04,34.90,28.0
18,82,40,2512.0,52.0,35,20.41,33.30,28.0
19,82,37,2555.0,51.0,35,12.31,29.80,28.0
20,83,21,2529.0,37.0,35,17.78,32.90,28.0
21,83,70,1668.0,40.0,35,11.31,31.00,28.0
22,83,74,1998.0,44.0,35,26.51,35.70,28.0
23,82,74,2189.0,46.0,34,30.43,36.90,28.0
24,82,73,2329.0,49.0,34,31.57,36.90,28.0
25,82,19,2419.0,41.0,34,24.71,34.50,28.0
26,83,50,1963.0,45.0,34,17.88,32.50,28.0
27,83,24,2341.0,51.0,34,11.71,29.80,28.0
28,83,18,2565.0,55.0,35,12.50,30.20,28.0
29,82,18,2680.0,,35,7.10,25.90,28.0
30,82,18,2494.0,45.0,35,6.69,25.50,28.0
31,82,18,2073.0,30.0,35,5.81,23.90,28.0
32,83,28,1187.0,17.0,36,3.23,18.80,28.0
33,83,66,893.0,23.0,35,9.22,27.80,28.0
34,83,78,,27.0,35,8.37,29.00,28.0
35,83,60,967.0,32.0,35,10.60,29.40,28.0
36,83,68,1126.0,39.0,34,13.77,31.40,28.0
37,83,47,1354.0,44.0,34,15.36,31.80,28.0
38,83,43,1479.0,46.0,34,9.20,27.50,28.0
39,82,36,1572.0,50.0,35,12.38,30.20,28.0
40,82,20,1701.0,50.0,35,10.04,28.60,28.0
41,82,51,1660.0,50.0,35,4.41,22.00,28.0
42,82,50,1697.0,51.0,34,20.01,33.30,28.0
43,82,19,1692.0,49.0,,13.39,30.60,28.0
44,82,20,1526.0,30.0,35,4.04,21.60,28.0
45,83,45,853.0,19.0,35,4.16,20.40,28.0
46,83,59,1051.0,29.0,34,14.84,32.90,28.0
47,83,35,1527.0,34.0,34,14.12,31.00,28.0
48,83,20,1680.0,31.0,34,10.81,29.40,28.0
49,82,70,1214.0,18.0,35,3.37,19.20,28.0
50,82,85,1058.0,28.0,34,17.64,51.80,28.0
51,82,78,1514.0,37.0,34,22.55,36.10,28.0
52,82,77,1936.0,45.0,33,27.65,36.50,28.0
53,82,53,2273.0,48.0,33,31.91,37.30,28.0
54,83,35,2367.0,49.0,33,22.33,34.10,28.0
55,83,19,2396.0,46.0,34,9.72,28.20,28.0
56,83,20,2209.0,42.0,34,6.14,24.30,28.0
57,83,19,2029.0,39.0,34,5.74,23.90,28.0
58,82,18,1871.0,35.0,34,4.95,22.70,28.0
59,82,20,1666.0,29.0,34,4.33,22.00,28.0
60,82,32,770.0,20.0,35,4.72,22.00,28.0
61,82,35,792.0,0.0,35,4.24,20.40,28.0
62,82,32,808.0,0.0,35,4.26,20.40,28.0
63,82,22,1291.0,16.0,34,10.33,27.50,28.0
64,83,40,1495.0,24.0,34,13.22,30.60,28.0
65,83,32,2103.0,26.0,34,18.51,32.50,28.0
66,83,18,2060.0,20.0,34,12.81,30.20,28.0
67,83,50,1362.0,17.0,34,3.90,23.10,28.0
